Area,Year,PublicationCount
siggraph,1990,41
siggraph,1991,32
siggraph,1992,39
siggraph,1993,44
siggraph,1994,52
siggraph,1995,52
siggraph,1996,51
siggraph,1997,49
siggraph,1998,45
siggraph,1999,50
siggraph,2000,57
siggraph,2001,63
siggraph,2002,61
siggraph,2003,226
siggraph,2004,81
siggraph,2005,99
siggraph,2006,85
siggraph,2007,108
siggraph,2008,90
siggraph,2009,78
siggraph,2010,103
siggraph,2011,82
siggraph,2012,95
siggraph,2013,115
siggraph,2014,127
siggraph,2015,118
siggraph,2016,119
siggraph,2017,132
siggraph,2018,128
siggraph,2019,111
siggraph,2020,123
siggraph,2021,149
siggraph,2022,194
siggraph,2023,212
siggraph,2024,252
siggraph-asia,2008,59
siggraph-asia,2009,70
siggraph-asia,2010,49
siggraph-asia,2011,68
siggraph-asia,2012,77
siggraph-asia,2013,66
siggraph-asia,2014,63
siggraph-asia,2015,84
siggraph-asia,2016,89
siggraph-asia,2017,75
siggraph-asia,2018,106
siggraph-asia,2019,109
siggraph-asia,2020,109
siggraph-asia,2021,92
siggraph-asia,2022,150
siggraph-asia,2023,224
sigir,1971,18
sigir,1978,10
sigir,1979,10
sigir,1980,24
sigir,1981,15
sigir,1982,21
sigir,1983,24
sigir,1984,28
sigir,1985,31
sigir,1986,32
sigir,1987,36
sigir,1988,45
sigir,1989,28
sigir,1990,27
sigir,1991,34
sigir,1992,33
sigir,1993,42
sigir,1994,37
sigir,1995,42
sigir,1996,43
sigir,1997,39
sigir,1998,50
sigir,1999,51
sigir,2000,46
sigir,2001,54
sigir,2002,58
sigir,2003,55
sigir,2004,76
sigir,2005,84
sigir,2006,85
sigir,2007,115
sigir,2008,109
sigir,2009,104
sigir,2010,121
sigir,2011,108
sigir,2012,135
sigir,2013,101
sigir,2014,106
sigir,2015,91
sigir,2016,81
sigir,2017,101
sigir,2018,103
sigir,2019,98
sigir,2020,191
sigir,2021,198
sigir,2022,318
sigir,2023,250
sigir,2024,240
sigmetrics,1974,19
sigmetrics,1976,29
sigmetrics,1979,22
sigmetrics,1981,22
sigmetrics,1982,48
sigmetrics,1983,24
sigmetrics,1984,21
sigmetrics,1985,21
sigmetrics,1986,29
sigmetrics,1987,24
sigmetrics,1988,48
sigmetrics,1989,53
sigmetrics,1990,23
sigmetrics,1991,20
sigmetrics,1992,20
sigmetrics,1993,22
sigmetrics,1994,25
sigmetrics,1995,27
sigmetrics,1996,24
sigmetrics,1997,26
sigmetrics,1998,25
sigmetrics,1999,18
sigmetrics,2000,28
sigmetrics,2001,29
sigmetrics,2002,23
sigmetrics,2003,26
sigmetrics,2004,36
sigmetrics,2005,38
sigmetrics,2006,30
sigmetrics,2007,29
sigmetrics,2008,36
sigmetrics,2009,27
sigmetrics,2010,29
sigmetrics,2011,26
sigmetrics,2012,31
sigmetrics,2013,26
sigmetrics,2014,41
sigmetrics,2015,33
sigmetrics,2016,30
sigmetrics,2017,44
sigmetrics,2018,40
sigmetrics,2019,58
sigmetrics,2020,48
sigmetrics,2021,58
sigmetrics,2022,41
sigmetrics,2023,54
sigmetrics,2024,28
sigmod,1975,26
sigmod,1976,20
sigmod,1977,21
sigmod,1978,23
sigmod,1979,24
sigmod,1980,22
sigmod,1981,23
sigmod,1982,37
sigmod,1983,24
sigmod,1984,31
sigmod,1985,35
sigmod,1986,32
sigmod,1987,48
sigmod,1988,60
sigmod,1989,46
sigmod,1990,48
sigmod,1991,48
sigmod,1992,65
sigmod,1993,39
sigmod,1994,40
sigmod,1995,36
sigmod,1996,47
sigmod,1997,42
sigmod,1998,42
sigmod,1999,42
sigmod,2000,42
sigmod,2001,44
sigmod,2002,42
sigmod,2003,53
sigmod,2004,70
sigmod,2005,64
sigmod,2006,58
sigmod,2007,73
sigmod,2008,79
sigmod,2009,63
sigmod,2010,80
sigmod,2011,87
sigmod,2012,48
sigmod,2013,76
sigmod,2014,107
sigmod,2015,108
sigmod,2016,117
sigmod,2017,96
sigmod,2018,91
sigmod,2019,113
sigmod,2020,176
sigmod,2021,216
sigmod,2022,175
sigmod,2023,202
sigmod,2024,234
soda,1990,54
soda,1991,50
soda,1992,51
soda,1993,52
soda,1994,76
soda,1995,69
soda,1996,64
soda,1997,85
soda,1998,74
soda,1999,89
soda,2000,100
soda,2001,94
soda,2002,101
soda,2003,87
soda,2004,118
soda,2005,124
soda,2006,132
soda,2007,134
soda,2008,136
soda,2009,136
soda,2010,134
soda,2011,133
soda,2012,139
soda,2013,135
soda,2014,135
soda,2015,135
soda,2016,146
soda,2017,181
soda,2018,179
soda,2019,182
soda,2020,180
soda,2021,179
soda,2022,148
soda,2023,190
soda,2024,190
sosp,1971,18
sosp,1973,18
sosp,1975,23
sosp,1977,21
sosp,1979,17
sosp,1981,16
sosp,1983,12
sosp,1985,18
sosp,1987,13
sosp,1989,19
sosp,1991,18
sosp,1993,21
sosp,1995,30
sosp,1997,23
sosp,1999,19
sosp,2001,17
sosp,2003,22
sosp,2005,22
sosp,2007,25
sosp,2009,23
sosp,2011,28
sosp,2013,30
sosp,2015,30
sosp,2017,39
sosp,2019,38
sosp,2021,54
sosp,2023,43
sosp,2024,43
stoc,1970,21
stoc,1971,20
stoc,1972,27
stoc,1973,25
stoc,1974,32
stoc,1975,26
stoc,1976,23
stoc,1977,29
stoc,1978,34
stoc,1979,34
stoc,1980,47
stoc,1981,38
stoc,1982,41
stoc,1983,51
stoc,1984,58
stoc,1985,49
stoc,1986,44
stoc,1987,47
stoc,1988,51
stoc,1989,55
stoc,1990,58
stoc,1991,57
stoc,1992,71
stoc,1993,86
stoc,1994,80
stoc,1995,77
stoc,1996,70
stoc,1997,77
stoc,1998,72
stoc,1999,84
stoc,2000,81
stoc,2001,82
stoc,2002,89
stoc,2003,78
stoc,2004,71
stoc,2005,84
stoc,2006,78
stoc,2007,77
stoc,2008,83
stoc,2009,77
stoc,2010,80
stoc,2011,84
stoc,2012,89
stoc,2013,100
stoc,2014,88
stoc,2015,93
stoc,2016,92
stoc,2017,108
stoc,2018,113
stoc,2019,111
stoc,2020,112
stoc,2021,150
stoc,2022,132
stoc,2023,153
stoc,2024,188
ubicomp,2001,30
ubicomp,2002,51
ubicomp,2003,27
ubicomp,2004,51
ubicomp,2005,42
ubicomp,2006,54
ubicomp,2007,50
ubicomp,2008,55
ubicomp,2009,52
ubicomp,2010,57
ubicomp,2011,66
ubicomp,2012,126
ubicomp,2013,75
ubicomp,2014,73
ubicomp,2015,103
ubicomp,2016,112
ubicomp,2017,178
ubicomp,2018,229
ubicomp,2019,194
ubicomp,2020,168
ubicomp,2021,193
ubicomp,2022,210
ubicomp,2023,205
ubicomp,2024,147
uist,1989,19
uist,1990,17
uist,1991,23
uist,2000,24
uist,2001,21
uist,2002,22
uist,2003,20
uist,2004,27
uist,2005,23
uist,2006,29
uist,2007,25
uist,2008,25
uist,2009,21
uist,2010,31
uist,2011,66
uist,2012,61
uist,2013,59
uist,2014,70
uist,2015,69
uist,2016,80
uist,2017,74
uist,2018,81
uist,2019,94
uist,2020,99
uist,2021,95
uist,2022,98
uist,2023,121
uist,2024,146
usenixatc,1996,27
usenixatc,1997,1
usenixatc,1998,36
usenixatc,1999,23
usenixatc,2000,27
usenixatc,2001,24
usenixatc,2002,25
usenixatc,2003,24
usenixatc,2004,21
usenixatc,2005,24
usenixatc,2006,57
usenixatc,2007,52
usenixatc,2008,34
usenixatc,2009,31
usenixatc,2010,24
usenixatc,2011,35
usenixatc,2012,41
usenixatc,2013,33
usenixatc,2014,44
usenixatc,2015,47
usenixatc,2016,58
usenixatc,2017,64
usenixatc,2018,76
usenixatc,2019,78
usenixatc,2020,67
usenixatc,2021,64
usenixatc,2022,67
usenixatc,2023,65
usenixatc,2024,77
usenixsec,1993,14
usenixsec,1995,22
usenixsec,1996,13
usenixsec,1998,18
usenixsec,1999,18
usenixsec,2000,20
usenixsec,2001,24
usenixsec,2002,22
usenixsec,2003,21
usenixsec,2004,32
usenixsec,2005,22
usenixsec,2006,22
usenixsec,2007,23
usenixsec,2008,27
usenixsec,2009,26
usenixsec,2010,30
usenixsec,2011,35
usenixsec,2012,43
usenixsec,2013,44
usenixsec,2014,67
usenixsec,2015,67
usenixsec,2016,72
usenixsec,2017,85
usenixsec,2018,101
usenixsec,2019,113
usenixsec,2020,159
usenixsec,2021,246
usenixsec,2022,256
usenixsec,2023,422
usenixsec,2024,418
vis,1990,45
vis,1991,43
vis,1992,50
vis,1993,43
vis,1994,46
vis,1995,42
vis,1996,45
vis,1997,53
vis,1998,49
vis,1999,48
vis,2000,52
vis,2001,52
vis,2002,58
vis,2003,75
vis,2004,107
vis,2005,126
vis,2006,87
vis,2007,83
vis,2008,76
vis,2009,90
vis,2010,87
vis,2011,97
vis,2012,96
vis,2013,101
vis,2014,112
vis,2016,104
vis,2017,105
vis,2018,104
vis,2019,125
vis,2020,120
vis,2021,155
vis,2022,114
vis,2023,122
vis,2024,135
vldb,1975,29
vldb,1976,15
vldb,1977,55
vldb,1978,62
vldb,1979,46
vldb,1980,36
vldb,1981,54
vldb,1982,35
vldb,1983,34
vldb,1984,46
vldb,1985,43
vldb,1986,55
vldb,1987,52
vldb,1988,42
vldb,1989,51
vldb,1990,60
vldb,1991,61
vldb,1992,58
vldb,1993,59
vldb,1994,68
vldb,1995,66
vldb,1996,70
vldb,1997,56
vldb,1998,66
vldb,1999,61
vldb,2000,63
vldb,2001,70
vldb,2002,93
vldb,2003,94
vldb,2004,110
vldb,2005,112
vldb,2006,106
vldb,2007,113
vldb,2008,130
vldb,2009,132
vldb,2010,159
vldb,2011,147
vldb,2012,150
vldb,2013,186
vldb,2014,181
vldb,2015,172
vldb,2016,141
vldb,2017,166
vldb,2018,158
vldb,2019,185
vldb,2020,270
vldb,2021,290
vldb,2022,311
vldb,2023,318
vldb,2024,258
vr,1999,47
vr,2000,48
vr,2001,45
vr,2002,40
vr,2003,43
vr,2004,52
vr,2005,40
vr,2006,47
vr,2007,34
vr,2008,23
vr,2009,24
vr,2010,22
vr,2011,18
vr,2012,26
vr,2013,45
vr,2014,41
vr,2015,41
vr,2016,46
vr,2017,50
vr,2018,115
vr,2019,175
vr,2020,136
vr,2021,118
vr,2022,128
vr,2023,140
vr,2024,190
wine,2005,107
wine,2006,34
wine,2007,63
wine,2008,77
wine,2009,63
wine,2010,50
wine,2011,39
wine,2012,49
wine,2013,32
wine,2014,42
wine,2015,30
wine,2016,33
wine,2017,32
wine,2018,33
wine,2019,35
wine,2020,42
wine,2021,40
wine,2022,32
wine,2023,37
www,2001,75
www,2002,71
www,2003,77
www,2004,74
www,2005,82
www,2006,92
www,2007,111
www,2008,103
www,2009,105
www,2010,105
www,2011,81
www,2012,107
www,2013,137
www,2014,84
www,2015,131
www,2016,126
www,2017,167
www,2018,190
www,2019,362
www,2020,317
www,2021,355
www,2022,364
www,2023,401
www,2024,432
